<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_ADC_CMP_NPCX,drivers/sensor,bool,drivers/sensor/nuvoton_adc_cmp_npcx/Kconfig:8,y,y,—(未定义/依赖不满足),,This option enables threshold interruption using sensor trigger API.,DT_HAS_NUVOTON_ADC_CMP_ENABLED
CONFIG_ADC_CMP_NPCX_WORKQUEUE,drivers/sensor,bool,drivers/sensor/nuvoton_adc_cmp_npcx/Kconfig:18,n（隐式）,—,—(未定义/依赖不满足),,Threshold detection ISR utilizes system work queue for calling trigger handlers; set this option to use dedicated work queue instead.,
CONFIG_ADC_CMP_NPCX_WORKQUEUE_PRIORITY,drivers/sensor,int,drivers/sensor/nuvoton_adc_cmp_npcx/Kconfig:26,SYSTEM_WORKQUEUE_PRIORITY,SYSTEM_WORKQUEUE_PRIORITY,—(未定义/依赖不满足),,This option sets internal ADC NPCX threshold detection workqueue priority.,
CONFIG_ADC_CMP_NPCX_WORKQUEUE_STACK_SIZE,drivers/sensor,int,drivers/sensor/nuvoton_adc_cmp_npcx/Kconfig:33,768,768,—(未定义/依赖不满足),,This option sets internal ADC NPCX threshold detection workqueue stack size.,
CONFIG_ADC_CONFIGURABLE_EXCITATION_CURRENT_SOURCE_PIN,drivers/adc,bool,drivers/adc/Kconfig:33,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_CONFIGURABLE_INPUTS,drivers/adc,bool,drivers/adc/Kconfig:27,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_ADC_EMUL,drivers/adc,bool,drivers/adc/Kconfig.adc_emul:4,y,y,—(未定义/依赖不满足),,Enable the ADC emulator driver. This is a fake driver in that it does not talk to real hardware. It pretends to be actual ADC. It is used for testing higher-level API for ADC devices.,DT_HAS_ZEPHYR_ADC_EMUL_ENABLED
CONFIG_ADC_EMUL_ACQUISITION_THREAD_PRIO,drivers/adc,int,drivers/adc/Kconfig.adc_emul:23,0,0,—(未定义/依赖不满足),,Priority level for the internal ADC data acquisition thread.,
CONFIG_ADC_EMUL_ACQUISITION_THREAD_STACK_SIZE,drivers/adc,int,drivers/adc/Kconfig.adc_emul:15,512,512,—(未定义/依赖不满足),,Size of the stack used for the internal data acquisition thread. Increasing size may be required when value function for emulated ADC require a lot of memory.,
CONFIG_ADC_ESP32,drivers/adc,bool,drivers/adc/Kconfig.esp32:5,y,y,—(未定义/依赖不满足),,Enable the driver implementation for the ESP32 ADC,DT_HAS_ESPRESSIF_ESP32_ADC_ENABLED
