<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_BOARD_NRF5340_AUDIO_DK_NRF5340_CPUAPP_NS,boards/arm,bool,boards/arm/nrf5340_audio_dk_nrf5340/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF5340_AUDIO_DK_NRF5340_CPUNET,boards/arm,bool,boards/arm/nrf5340_audio_dk_nrf5340/Kconfig.board:16,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUNET_QKAA
CONFIG_BOARD_NRF54H20PDK_NRF54H20_CPUAPP,boards/arm,bool,boards/arm/nrf54h20pdk_nrf54h20/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF54H20_ENGA_CPUAPP
CONFIG_BOARD_NRF54H20PDK_NRF54H20_CPUPPR,boards/riscv,bool,boards/riscv/nrf54h20pdk_nrf54h20/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF54H20_ENGA_CPUPPR
CONFIG_BOARD_NRF54H20PDK_NRF54H20_CPURAD,boards/arm,bool,boards/arm/nrf54h20pdk_nrf54h20/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF54H20_ENGA_CPURAD
CONFIG_BOARD_NRF54L15PDK_NRF54L15_CPUAPP,boards/arm,bool,boards/arm/nrf54l15pdk_nrf54l15/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF54L15_ENGA_CPUAPP
CONFIG_BOARD_NRF9131EK_NRF9131,boards/arm,bool,boards/arm/nrf9131ek_nrf9131/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9131EK_NRF9131_NS,boards/arm,bool,boards/arm/nrf9131ek_nrf9131/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9151DK_NRF9151,boards/arm,bool,boards/arm/nrf9151dk_nrf9151/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9151DK_NRF9151_NS,boards/arm,bool,boards/arm/nrf9151dk_nrf9151/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9160DK_NRF52840,boards/arm,bool,boards/arm/nrf9160dk_nrf52840/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_NRF9160DK_NRF9160,boards/arm,bool,boards/arm/nrf9160dk_nrf9160/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9160DK_NRF9160_NS,boards/arm,bool,boards/arm/nrf9160dk_nrf9160/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9160_INNBLUE21,boards/arm,bool,boards/arm/nrf9160_innblue21/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9160_INNBLUE21_NS,boards/arm,bool,boards/arm/nrf9160_innblue21/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9160_INNBLUE22,boards/arm,bool,boards/arm/nrf9160_innblue22/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9160_INNBLUE22_NS,boards/arm,bool,boards/arm/nrf9160_innblue22/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9161DK_NRF9161,boards/arm,bool,boards/arm/nrf9161dk_nrf9161/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NRF9161DK_NRF9161_NS,boards/arm,bool,boards/arm/nrf9161dk_nrf9161/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NSIM,boards/arc,bool,boards/arc/nsim/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,The DesignWare ARC nSIM board is a virtual board based on the ARC nSIM simulator. It demonstrates the ARC core features and a console based on the ns16550 UART model.,SOC_NSIM
CONFIG_BOARD_NUCLEO_C031C6,boards/arm,bool,boards/arm/nucleo_c031c6/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32C031XX
CONFIG_BOARD_NUCLEO_F030R8,boards/arm,bool,boards/arm/nucleo_f030r8/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F030X8
CONFIG_BOARD_NUCLEO_F031K6,boards/arm,bool,boards/arm/nucleo_f031k6/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F031X6
CONFIG_BOARD_NUCLEO_F042K6,boards/arm,bool,boards/arm/nucleo_f042k6/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F042X6
CONFIG_BOARD_NUCLEO_F070RB,boards/arm,bool,boards/arm/nucleo_f070rb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F070XB
CONFIG_BOARD_NUCLEO_F091RC,boards/arm,bool,boards/arm/nucleo_f091rc/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F091XC
CONFIG_BOARD_NUCLEO_F103RB,boards/arm,bool,boards/arm/nucleo_f103rb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F103XB
CONFIG_BOARD_NUCLEO_F207ZG,boards/arm,bool,boards/arm/nucleo_f207zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F207XX
CONFIG_BOARD_NUCLEO_F302R8,boards/arm,bool,boards/arm/nucleo_f302r8/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F302X8
CONFIG_BOARD_NUCLEO_F303K8,boards/arm,bool,boards/arm/nucleo_f303k8/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F303X8
CONFIG_BOARD_NUCLEO_F303RE,boards/arm,bool,boards/arm/nucleo_f303re/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F303XE
CONFIG_BOARD_NUCLEO_F334R8,boards/arm,bool,boards/arm/nucleo_f334r8/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F334X8
CONFIG_BOARD_NUCLEO_F401RE,boards/arm,bool,boards/arm/nucleo_f401re/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F401XE
CONFIG_BOARD_NUCLEO_F410RB,boards/arm,bool,boards/arm/nucleo_f410rb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F410RX
CONFIG_BOARD_NUCLEO_F411RE,boards/arm,bool,boards/arm/nucleo_f411re/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F411XE
CONFIG_BOARD_NUCLEO_F412ZG,boards/arm,bool,boards/arm/nucleo_f412zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F412ZX
CONFIG_BOARD_NUCLEO_F413ZH,boards/arm,bool,boards/arm/nucleo_f413zh/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F413XX
CONFIG_BOARD_NUCLEO_F429ZI,boards/arm,bool,boards/arm/nucleo_f429zi/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F429XX
CONFIG_BOARD_NUCLEO_F446RE,boards/arm,bool,boards/arm/nucleo_f446re/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F446XX
CONFIG_BOARD_NUCLEO_F446ZE,boards/arm,bool,boards/arm/nucleo_f446ze/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F446XX
CONFIG_BOARD_NUCLEO_F722ZE,boards/arm,bool,boards/arm/nucleo_f722ze/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F722XX
CONFIG_BOARD_NUCLEO_F746ZG,boards/arm,bool,boards/arm/nucleo_f746zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F746XX
CONFIG_BOARD_NUCLEO_F756ZG,boards/arm,bool,boards/arm/nucleo_f756zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F756XX
CONFIG_BOARD_NUCLEO_F767ZI,boards/arm,bool,boards/arm/nucleo_f767zi/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F767XX
CONFIG_BOARD_NUCLEO_G031K8,boards/arm,bool,boards/arm/nucleo_g031k8/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32G031XX
CONFIG_BOARD_NUCLEO_G070RB,boards/arm,bool,boards/arm/nucleo_g070rb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32G070XX
CONFIG_BOARD_NUCLEO_G071RB,boards/arm,bool,boards/arm/nucleo_g071rb/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32G071XX
CONFIG_BOARD_NUCLEO_G0B1RE,boards/arm,bool,boards/arm/nucleo_g0b1re/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32G0B1XX
CONFIG_BOARD_NUCLEO_G431RB,boards/arm,bool,boards/arm/nucleo_g431rb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32G431XX
CONFIG_BOARD_NUCLEO_G474RE,boards/arm,bool,boards/arm/nucleo_g474re/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32G474XX
CONFIG_BOARD_NUCLEO_H563ZI,boards/arm,bool,boards/arm/nucleo_h563zi/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H563XX
CONFIG_BOARD_NUCLEO_H723ZG,boards/arm,bool,boards/arm/nucleo_h723zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H723XX
CONFIG_BOARD_NUCLEO_H743ZI,boards/arm,bool,boards/arm/nucleo_h743zi/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H743XX
CONFIG_BOARD_NUCLEO_H745ZI_Q_M4,boards/arm,bool,boards/arm/nucleo_h745zi_q/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H745XX
CONFIG_BOARD_NUCLEO_H745ZI_Q_M7,boards/arm,bool,boards/arm/nucleo_h745zi_q/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H745XX
CONFIG_BOARD_NUCLEO_H753ZI,boards/arm,bool,boards/arm/nucleo_h753zi/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H753XX
CONFIG_BOARD_NUCLEO_H7A3ZI_Q,boards/arm,bool,boards/arm/nucleo_h7a3zi_q/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32H7A3XXQ
CONFIG_BOARD_NUCLEO_L011K4,boards/arm,bool,boards/arm/nucleo_l011k4/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L011XX
CONFIG_BOARD_NUCLEO_L031K6,boards/arm,bool,boards/arm/nucleo_l031k6/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L031XX
CONFIG_BOARD_NUCLEO_L053R8,boards/arm,bool,boards/arm/nucleo_l053r8/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L053XX
CONFIG_BOARD_NUCLEO_L073RZ,boards/arm,bool,boards/arm/nucleo_l073rz/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L073XX
CONFIG_BOARD_NUCLEO_L152RE,boards/arm,bool,boards/arm/nucleo_l152re/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L152XE
CONFIG_BOARD_NUCLEO_L412RB_P,boards/arm,bool,boards/arm/nucleo_l412rb_p/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L412XX
CONFIG_BOARD_NUCLEO_L432KC,boards/arm,bool,boards/arm/nucleo_l432kc/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L432XX
CONFIG_BOARD_NUCLEO_L433RC_P,boards/arm,bool,boards/arm/nucleo_l433rc_p/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L433XX
CONFIG_BOARD_NUCLEO_L452RE,boards/arm,bool,boards/arm/nucleo_l452re/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L452XX
CONFIG_BOARD_NUCLEO_L452RE_P,boards/arm,bool,boards/arm/nucleo_l452re/Kconfig.board:11,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L452XX
CONFIG_BOARD_NUCLEO_L476RG,boards/arm,bool,boards/arm/nucleo_l476rg/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L476XX
CONFIG_BOARD_NUCLEO_L496ZG,boards/arm,bool,boards/arm/nucleo_l496zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L496XX
CONFIG_BOARD_NUCLEO_L4A6ZG,boards/arm,bool,boards/arm/nucleo_l4a6zg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L4A6XX
CONFIG_BOARD_NUCLEO_L4R5ZI,boards/arm,bool,boards/arm/nucleo_l4r5zi/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L4R5XX
CONFIG_BOARD_NUCLEO_L552ZE_Q,boards/arm,bool,boards/arm/nucleo_l552ze_q/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L552XX
CONFIG_BOARD_NUCLEO_U575ZI_Q,boards/arm,bool,boards/arm/nucleo_u575zi_q/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32U575XX
CONFIG_BOARD_NUCLEO_U5A5ZJ_Q,boards/arm,bool,boards/arm/nucleo_u5a5zj_q/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32U5A5XX
CONFIG_BOARD_NUCLEO_WB55RG,boards/arm,bool,boards/arm/nucleo_wb55rg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WB55XX
CONFIG_BOARD_NUCLEO_WBA52CG,boards/arm,bool,boards/arm/nucleo_wba52cg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WBA52XX
CONFIG_BOARD_NUCLEO_WBA55CG,boards/arm,bool,boards/arm/nucleo_wba55cg/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WBA55XX
CONFIG_BOARD_NUCLEO_WL55JC,boards/arm,bool,boards/arm/nucleo_wl55jc/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WL55XX
CONFIG_BOARD_NUMAKER_PFM_M467,boards/arm,bool,boards/arm/numaker_pfm_m467/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_M467
CONFIG_BOARD_NUVOTON_PFM_M487,boards/arm,bool,boards/arm/nuvoton_pfm_m487/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,SOC_M487
CONFIG_BOARD_NXP_ADSP_IMX8,boards/xtensa,bool,boards/xtensa/nxp_adsp_imx8/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_NXP_IMX8
CONFIG_BOARD_NXP_ADSP_IMX8M,boards/xtensa,bool,boards/xtensa/nxp_adsp_imx8m/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_NXP_IMX8M
CONFIG_BOARD_NXP_ADSP_IMX8ULP,boards/xtensa,bool,boards/xtensa/nxp_adsp_imx8ulp/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_BOARD_NXP_ADSP_IMX8X,boards/xtensa,bool,boards/xtensa/nxp_adsp_imx8x/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_NXP_IMX8
CONFIG_BOARD_NXP_ADSP_RT595,boards/xtensa,bool,boards/xtensa/nxp_adsp_rt595/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_NXP_RT5XX
CONFIG_BOARD_NXP_LS1046ARDB,boards/arm64,bool,boards/arm64/nxp_ls1046ardb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_LS1046A
CONFIG_BOARD_ODROID_GO,boards/xtensa,bool,boards/xtensa/odroid_go/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32
CONFIG_BOARD_OLIMEXINO_STM32,boards/arm,bool,boards/arm/olimexino_stm32/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F103XB
CONFIG_BOARD_OLIMEX_ESP32_EVB,boards/xtensa,bool,boards/xtensa/olimex_esp32_evb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_ESP32
CONFIG_BOARD_OLIMEX_LORA_STM32WL_DEVKIT,boards/arm,bool,boards/arm/olimex_lora_stm32wl_devkit/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32WLE5XX
CONFIG_BOARD_OLIMEX_STM32_E407,boards/arm,bool,boards/arm/olimex_stm32_e407/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F407XG
CONFIG_BOARD_OLIMEX_STM32_H103,boards/arm,bool,boards/arm/olimex_stm32_h103/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F103XB
CONFIG_BOARD_OLIMEX_STM32_H405,boards/arm,bool,boards/arm/olimex_stm32_h405/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F405XG
CONFIG_BOARD_OLIMEX_STM32_H407,boards/arm,bool,boards/arm/olimex_stm32_h407/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F407XG
CONFIG_BOARD_OLIMEX_STM32_P405,boards/arm,bool,boards/arm/olimex_stm32_p405/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32F405XG
CONFIG_BOARD_OPENTITAN_EARLGREY,boards/riscv,bool,boards/riscv/opentitan_earlgrey/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_OPENTITAN
CONFIG_BOARD_PAN1770_EVB,boards/arm,bool,boards/arm/pan1770_evb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_PAN1780_EVB,boards/arm,bool,boards/arm/pan1780_evb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_PAN1781_EVB,boards/arm,bool,boards/arm/pan1781_evb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52820_QDAA
CONFIG_BOARD_PAN1782_EVB,boards/arm,bool,boards/arm/pan1782_evb/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52833_QIAA
CONFIG_BOARD_PAN1783A_EVB_CPUAPP,boards/arm,bool,boards/arm/pan1783/Kconfig.board:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUAPP_QKAA
CONFIG_BOARD_PAN1783A_EVB_CPUNET,boards/arm,bool,boards/arm/pan1783/Kconfig.board:22,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUNET_QKAA
CONFIG_BOARD_PAN1783A_PA_EVB_CPUAPP,boards/arm,bool,boards/arm/pan1783/Kconfig.board:14,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUAPP_QKAA
CONFIG_BOARD_PAN1783A_PA_EVB_CPUNET,boards/arm,bool,boards/arm/pan1783/Kconfig.board:26,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUNET_QKAA
CONFIG_BOARD_PAN1783_EVB_CPUAPP,boards/arm,bool,boards/arm/pan1783/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUAPP_QKAA
CONFIG_BOARD_PAN1783_EVB_CPUNET,boards/arm,bool,boards/arm/pan1783/Kconfig.board:18,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF5340_CPUNET_QKAA
CONFIG_BOARD_PANDORA_STM32L475,boards/arm,bool,boards/arm/pandora_stm32l475/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_STM32L475XX
CONFIG_BOARD_PARTICLE_ARGON,boards/arm,bool,boards/arm/particle_argon/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_PARTICLE_BORON,boards/arm,bool,boards/arm/particle_boron/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_PARTICLE_XENON,boards/arm,bool,boards/arm/particle_xenon/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_PHYCORE_AM62X_A53,boards/arm64,bool,boards/arm64/phycore_am62x_a53/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_AM6X_A53
CONFIG_BOARD_PICO_PI_M4,boards/arm,bool,boards/arm/pico_pi_m4/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SERIES_IMX7_M4
CONFIG_BOARD_PINETIME_DEVKIT0,boards/arm,bool,boards/arm/pinetime_devkit0/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52832_QFAA
CONFIG_BOARD_PINNACLE_100_DVK,boards/arm,bool,boards/arm/pinnacle_100_dvk/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF52840_QIAA
CONFIG_BOARD_QEMU_ARC,boards/arc,bool,boards/arc/qemu_arc/Kconfig.board:5,n（隐式）,—,—(未定义/依赖不满足),,,SOC_QEMU_ARC
CONFIG_BOARD_QEMU_CORTEX_A53,boards/arm64,bool,boards/arm64/qemu_cortex_a53/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_QEMU_CORTEX_A53
CONFIG_BOARD_QEMU_CORTEX_A9,boards/arm,bool,boards/arm/qemu_cortex_a9/Kconfig.board:8,n（隐式）,—,—(未定义/依赖不满足),,,SOC_XILINX_XC7Z007S
CONFIG_BOARD_QEMU_CORTEX_M0,boards/arm,bool,boards/arm/qemu_cortex_m0/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NRF51822_QFAA
CONFIG_BOARD_QEMU_CORTEX_M3,boards/arm,bool,boards/arm/qemu_cortex_m3/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,,SOC_TI_LM3S6965
CONFIG_BOARD_QEMU_CORTEX_R5,boards/arm,bool,boards/arm/qemu_cortex_r5/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_XILINX_ZYNQMP_RPU
CONFIG_BOARD_QEMU_KVM_ARM64,boards/arm64,bool,boards/arm64/qemu_kvm_arm64/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_QEMU_VIRT_ARM64
CONFIG_BOARD_QEMU_LEON3,boards/sparc,bool,boards/sparc/qemu_leon3/Kconfig.board:5,n（隐式）,—,—(未定义/依赖不满足),,,SOC_LEON3
CONFIG_BOARD_QEMU_MALTA,boards/mips,bool,boards/mips/qemu_malta/Kconfig.board:7,n（隐式）,—,—(未定义/依赖不满足),,,SOC_QEMU_MALTA
CONFIG_BOARD_QEMU_MALTA_BE,boards/mips,bool,boards/mips/qemu_malta/Kconfig.board:12,n（隐式）,—,—(未定义/依赖不满足),,,SOC_QEMU_MALTA
CONFIG_BOARD_QEMU_NIOS2,boards/nios2,bool,boards/nios2/qemu_nios2/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,,SOC_NIOS2_QEMU
CONFIG_BOARD_QEMU_RISCV32,boards/riscv,bool,boards/riscv/qemu_riscv32/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RISCV_VIRT
CONFIG_BOARD_QEMU_RISCV32E,boards/riscv,bool,boards/riscv/qemu_riscv32e/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RISCV_VIRT
CONFIG_BOARD_QEMU_RISCV32_SMP,boards/riscv,bool,boards/riscv/qemu_riscv32/Kconfig.board:13,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RISCV_VIRT
CONFIG_BOARD_QEMU_RISCV32_XIP,boards/riscv,bool,boards/riscv/qemu_riscv32/Kconfig.board:23,n（隐式）,—,—(未定义/依赖不满足),,,SOC_SIFIVE_FREEDOM_E340
CONFIG_BOARD_QEMU_RISCV64,boards/riscv,bool,boards/riscv/qemu_riscv64/Kconfig.board:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RISCV_VIRT
CONFIG_BOARD_QEMU_RISCV64_SMP,boards/riscv,bool,boards/riscv/qemu_riscv64/Kconfig.board:15,n（隐式）,—,—(未定义/依赖不满足),,,SOC_RISCV_VIRT
CONFIG_BOARD_QEMU_X86,boards/x86,bool,boards/x86/qemu_x86/Kconfig.board:3,n（隐式）,—,—(未定义/依赖不满足),,,SOC_IA32
CONFIG_BOARD_QEMU_X86_64,boards/x86,bool,boards/x86/qemu_x86/Kconfig.board:10,n（隐式）,—,—(未定义/依赖不满足),,,SOC_IA32
CONFIG_BOARD_QEMU_X86_LAKEMONT,boards/x86,bool,boards/x86/qemu_x86/Kconfig.board:17,n（隐式）,—,—(未定义/依赖不满足),,,SOC_LAKEMONT
CONFIG_BOARD_QEMU_X86_TINY,boards/x86,bool,boards/x86/qemu_x86/Kconfig.board:24,n（隐式）,—,—(未定义/依赖不满足),,,SOC_IA32
CONFIG_BOARD_QEMU_XTENSA,boards/xtensa,bool,boards/xtensa/qemu_xtensa/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_XTENSA_DC233C
CONFIG_BOARD_QEMU_XTENSA_MMU,boards/xtensa,bool,boards/xtensa/qemu_xtensa/Kconfig.board:12,n（隐式）,—,—(未定义/依赖不满足),,,SOC_XTENSA_DC233C
CONFIG_BOARD_QOMU,boards/arm,bool,boards/arm/qomu/Kconfig.board:6,n（隐式）,—,—(未定义/依赖不满足),,,SOC_EOS_S3
